Username,Tweet
1668184235952476161,b'RT @abwnews_: Abdullah Hehamahua Yakin Anies Baswedan Mampu Berantas Korupsi\n\nhttps://t.co/LTssVOpeT5'
1668184221398228993,"b'RT @UusRsd: Apapun warna politiknya &amp; siapapun nanti capresnya; yg baru, yg lama atau yg abadi, presidennya Anies Baswedan\xf0\x9f\x98\x89\n\n#AniesPresiden\xe2\x80\xa6'"
1668184208815312896,b'RT @GeiszChalifah: Dia belum jadi Menteri belum jadi Gubernur. Bukan pejabat negara. 7 penghargaan Int dia raih. \nBerikan pembandingnya saj\xe2\x80\xa6'
1668184206625878017,b'RT @KalaHitam777: Pemilu Tertutup merampas hak demokrasi rakyat dan menutup anak bangsa berbakat dan punya hati nurani thdp nasib bangsanya\xe2\x80\xa6'
1668184187713765377,"b'RT @GeiszChalifah: Lagi - lagi gagasan, Anies Baswedan selalunya menaikan level agar pilpres meniadi kontestasi pikiran. \n\nhttps://t.co/ZO9\xe2\x80\xa6'"
1668184180990316546,"b'RT @Malika6027: Orang baik tidak akan berjuang sendiri, terbukti hampir 100% umat Islam mendukung Anies Baswedan.\n\nJika benar, Sesungguhnya\xe2\x80\xa6'"
1668184178893135872,"b'RT @P3n99u94t: PENDIRI PAN, BOROK APA YANG DISEMBUNYIKAN SEHINGGA BEGITU TAKUT BILA ANIES BASWEDAN JADI PRESIDEN....\xe2\x81\x89\xef\xb8\x8f\n\n#NKRIDijarahRezimPK\xe2\x80\xa6'"
1668184178368856064,"b'RT @hc_poirot: ""Suharso Monoarfa diberhentikan sebagai ketua umum partai. Ketika saya bertanya kepada seorang kader utama PPP kenapa Suhars\xe2\x80\xa6'"
1668184162942214144,b'RT @GeiszChalifah: Dia belum jadi Menteri belum jadi Gubernur. Bukan pejabat negara. 7 penghargaan Int dia raih. \nBerikan pembandingnya saj\xe2\x80\xa6'
1668184158689185792,b'RT @OposisiCerdas: Survei LSN: Nyaris 100 Persen Pemilih Beragama Islam Dukung Anies Baswedan https://t.co/szdzpnTufc'
1668184145863016449,"b'Urutan ketiga ada Anies Baswedan dengan elektabilitas sebesar 20,8 persen.\n#PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto'"
1668184139936464897,b'RT @JamalBoegis: Alumni ITB Dukung @aniesbaswedan Sebagai Presiden RI 2024. https://t.co/6nHl4WmJxQ'
