Username,Tweet
1668640804167114752,b'RT @Joker_Wedoks: Kita buktikan survei Abal Abal lembaga survei dari gerombolan loe yg mengatakan elektabilitas Pak Ganjar Pranowo cuman 12\xe2\x80\xa6'
1668640653532856320,b'Pa Ganjar Pranowo diam tapi menghanyutkan \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x99\x8f \n#GanjarUntukSemua\n#LanjutkanBersamaGanjar https://t.co/ELcMPvnkM6'
1668640644989095936,b'@Ganjaran_app @ganjarpranowo Ini tongkat estafet paling ideal... dari Presiden Jokowi ke Ganjar Pranowo'
1668640600210690048,b'@HelmiFelis_ Melanjutkan yg bagus memperbaiki yg kurang menghentikan yg buruk membangun baru utk fondasi pmbangunan selanjutnya begitulah seterusnya sampai Indonesia maju. Orang yg tepat pak Ganjar Pranowo. Merubah apalagi menghentikan program sebelumya akan memperlambat kemajuan \xf0\x9f\x91\x8c\xf0\x9f\x99\x8b\xf0\x9f\xa4\x9f'
1668640214838034434,"b'RT @KakekHalal: Ganjar Mendadak Diundang Jokowi ke Istana, Ada Apa?\n\nGubernur Jawa Tengah, Ganjar Pranowo kedapatan mendatangi Istana Negar\xe2\x80\xa6'"
1668640205396660226,b'RT @gerhana_01: PDIP menangkap semua nama\xc2\xb2 yang masuk untuk di jadikan kandidat cawapres Ganjar Pranowo.\nNama Moeldoko banyak di usulkan un\xe2\x80\xa6'
1668640203953819648,b'RT @FirzaHusain: Keren pa Ganjar Pranowo \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x99\x8f \n#GanjarUntukSemua\n#LanjutkanBersamaGanjar'
1668640127932076033,b'Bakal calon presiden (Bacapres) Ganjar Pranowo mengunggah momen sedang makan malam bersama dengan Presiden Joko Widodo (Jokowi) di DKI Jakarta. https://t.co/U4OOYzKUYV'
1668640051541184512,b'@Ganjaran_app @ganjarpranowo Ganjar   Pranowo tetap sosok pemimpin TERBAIK!'
1668639977721430016,b'RT @ChantiqueTiyara: Angkatan Muda Sisingamangaraja (AMS) XII siap mendukung Ganjar Pranowo di Pilpres Thn 2024\n\nDukungan itu disampaikan K\xe2\x80\xa6'
1668639902312058881,b'Jokowi Effect Jadi Penentu Kemenangan Ganjar Pranowo di Pilpres 2024\n#opsimediatv #Jokowi #GanjarPranowo \nhttps://t.co/QfcXimQ7vt'
1668639874306674689,"b'Jokowi, Ganjar Pranowo, and State Ministers Discuss Borobudur in Jakarta Palace #TempoEnglish https://t.co/Lcei5EVPGp'"
1668639804966449157,"b'RT @ruhutsitompul: Sudah jelaskan, Aku\xf0\x9f\x99\x8fMohon tolong jangan salah pilih Do\xe2\x80\x99a Kami Rakyat Indonesia ter\xe2\x9d\xa4\xef\xb8\x8fCinta Mas Ganjar Pranowo Presiden RI\xe2\x80\xa6'"
1668639426753482752,b'@Ganjaran_app @ganjarpranowo @PDI_Perjuangan Ganjar   Pranowo tetap sosok pemimpin TERBAIK!'
1668639368154861568,"b'Apes Kuadrat... Ganjar Pranowo Tolak Timnas Israel, Pemilih di Wilayah Kemenangan Jokowi Diprediksi Bakal Mendukung Penuh Prabowo Subianto https://t.co/RyKSjyeGrd'"
1668639248524926979,b'Jokowi Effect Jadi Penentu Kemenangan Ganjar Pranowo di Pilpres 2024\n#Jokowi #GanjarPranowo #opsimediatv \nhttps://t.co/WPKbo09xrb'
1668639203582939136,b'@Ganjaran_app @ganjarpranowo @PDI_Perjuangan Ganjar Pranowo pemimpin masa depan'
1668639056711004161,b'Pendidikan literasi digital di era demokrasi oleh Pak Ganjar Pranowo. https://t.co/ZYNhCELVg1'
1668639053053579265,"b'RT @adearmando61: Ganjar Pranowo sudah mengklarifikasi bahwa kalau nanti dia jadi Presiden, yang akan menentukan siapa anggota kabinetnya y\xe2\x80\xa6'"
1668638946853785600,b'@Ganjaran_app @ganjarpranowo @PDI_Perjuangan Indonesia maju bersama Ganjar Pranowo'
1668638812216627206,b'Keren pa Ganjar Pranowo \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x99\x8f \n#GanjarUntukSemua\n#LanjutkanBersamaGanjar https://t.co/Kq9Cw8cCJh'
1668638781023621121,b'Telak!!!\nTernyata mayoritas pendukung Ganjar Pranowo di dominasi oleh anak muda. https://t.co/uZ2iOLacsz'
1668638684911128578,"b'RT @cagubnyinyir2: PDIP: Pertemuan PDIP dengan Partai Demokrat bukan untuk bahas duet Ganjar Pranowo\xc2\xa0dan Ketum Demokrat AHY.\n""Pak AHY sudah\xe2\x80\xa6'"
1668638534192754688,b'RT @suga4447: Klo kalian tanya kerja pak Anis selama menjabat gubernur\nIni loh hasil kerja nyata pak Anis selama 1 periode\nKlo hasil kerja\xe2\x80\xa6'
1668638510264496128,"b'RT @MediaKomando: Target Penurunan Angka Pengangguran dan Kemiskinan Belum Tercapai, Fraksi PKS DPRD Jateng Beri Peringatan Keras kepada Ga\xe2\x80\xa6'"
1668638467545513991,"b'RT @mikadongaku22: Menurut Sekjen PDIP, Hasto Kristiyanto menangkap semua nama yang di ajukan untuk menjadi cawapres Ganjar Pranowo\nDan nam\xe2\x80\xa6'"
1668638433517146113,b'@ganjarpranowo mas ganjar mau ke lombok tgl 18 juni ya ? Aku rakyat biasa mas apa bisa ya skdr salaman sama Bpk Presiden ganjar pranowo ?'
1668638391364386816,b'RT @AirinDatangLagi: @ganjarpranowo emng ud shrsnya PD krn.\nSlain dri partai yg sama. GP juga SIAP Melanjutkan program @jokowi\n\nRekam jejak\xe2\x80\xa6'
1668638344866328576,"b'RT @__AnakKolong: GANJAR PRANOWO BERPECI | dalam dramaturgi dua Ketum Partai Raksasa, yang keduanya bisa memahkotai kepalanya sendiri.\n\nDan\xe2\x80\xa6'"
1668638303732785152,b'Kita buktikan survei Abal Abal lembaga survei dari gerombolan loe yg mengatakan elektabilitas Pak Ganjar Pranowo cuman 12%&gt;&gt;&gt;\nBerani loe tutup akun nanti hasil pilpres 2024 pak Ganjar dpt suara signifikan ?\nUdah gw ss mbacot Lo\n@jandakembang78 https://t.co/LRlvZn7eyD https://t.co/n7u85a2e3P'
1668638240226811904,b'RT @Sherin_Tiara: Berikut beberapa kutipan bijak dari Pak Ganjar Pranowo \xe2\x9d\xa4\xef\xb8\x8f yuk disimak dan dicontoh ya gaessss.\n#GANTARI \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n#GanjarPranowo\xe2\x80\xa6'
1668638225991360514,"b'ganjar   pranowo for presiden 2024, mantap pak ganjar #GanjarCapres https://t.co/SbP5FvQhtK'"
1668638223508312066,b'ganjar   pranowo sudah paling tepat menjadi presiden di 2024 #GanjarCapres https://t.co/YFSXNirYAk'
1668638107791663104,"b'Dipanggil @jokowi ke Istana, @ganjarpranowo Mengaku Tak Hanya Bertemu Empat Mata\n\nGubernur Jawa Tengah sekaligus bakal capres usungan PDI Perjuangan Ganjar Pranowo dipanggil ke Istana Kepresidenan untuk bertemu dengan Presiden Joko Widodo (Jokowi) pada Selasa (13/6/2023).\xe2\x80\xa6 https://t.co/aoFq6ELEsL https://t.co/lKaV7AnGlU'"
1668637955546808320,"b'RT @OposisiCerdas: Target Penurunan Angka Pengangguran dan Kemiskinan Belum Tercapai, Fraksi PKS DPRD Jateng Beri Peringatan Keras kepada G\xe2\x80\xa6'"
1668637792950431745,b'Ganjar Pranowo sosok yang pantas menjadi teladan \n\n#GanjarCapres https://t.co/7EqhalHvuY'
1668637650918727682,b'RT @PDI_Perjuangan: Konsolidasi merapatkan barisan mewujudkan kemenangan Ganjar Pranowo sebagai calon presiden RI 2024 dan pemilihan legisl\xe2\x80\xa6'
1668637589392482309,"b'Prestasi Gubernur Jawa Tengah Ganjar Pranowo yg jarang diliput media, tapi dirasakan warganya \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x99\x8f\n#GanjarUntukSemua\n#LanjutkanBersamaGanjar https://t.co/hVgGMBTy6v'"
1668637586632638468,b'RT @PDI_Perjuangan: Ganjar Pranowo berkunjung ke Istana Negara untuk memenuhi undangan Presiden Joko Widodo. Presiden pun menyambut dengan\xe2\x80\xa6'
1668637529858510848,"b'Luar biasa bestiee, Pak Ganjar Pranowo Pemimpin yg fokus dlm meningkatkan SDM masyarakat khususnya Generasi Muda Bangsa.\nDimana Pak @ganjarpranowo\xc2\xa0terus mendorong penyerapan tenaga kerja\xc2\xa0SMK\xc2\xa0di Jateng melalui program magang ke Jepang lhoo keren ya \xf0\x9f\x98\x8d\n#GANTARI \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n#GanjarPranowo https://t.co/beSqaQA99J'"
1668637525496455169,b'RT @Urrangawak: Presiden Jokowi memanggil Gubernur Jawa Tengah Ganjar Pranowo ke Istana Negara. Membahas soal pengelolaan kawasan Candi Bor\xe2\x80\xa6'
1668637467543760896,"b'RT @BiLLRaY2019: Ganjar Pranowo penuhi undangan Presiden Jokowi di Istana Negara\n\n""Ganjar Pranowo disambut mesra Jokowi""\n\n#GanjarMenangTota\xe2\x80\xa6'"
1668637434714918912,"b'RT @ex_AnakLolina: Apa kabar polling yang di lakukan akun twitter ILC, Anies Baswedan menang telak atas Ganjar Pranowo dan Prabowo?\n\nKemena\xe2\x80\xa6'"
1668637350128414720,"b'RT @PDI_Perjuangan: Penuh Kebersamaan, Ganjar Pranowo dan Presiden Jokowi Makan Malam Bersama\n\nPada malam yang penuh kebersamaan, Ganjar Pr\xe2\x80\xa6'"
1668637345149763586,b'RT @BennyHarmanID: Apa Pesan penting dari foto pertemuan Sekjend dari dua partai besar ini? Pesannya clean and clear bahwa keduanya berbeda\xe2\x80\xa6'
1668637218670546945,b'Ganjar Pranowo tidak gengsi mengerjakan pekerjaan rumah \n\n#GanjarCapres https://t.co/R3ASF5LPKM'
1668637079449001986,b'After movie lomba perahu \xf0\x9f\x9a\xa4\n\nhttps://t.co/n7lHcUTHSl\n\n@ganjarmilenialcenter\n@ganjar_pranowo\n\n\xf0\x9f\x94\xa5 Semangat Mengabdi Membangun Negeri \xf0\x9f\x94\xa5\n\n#gmckaltim #gmcbalikpapan #gmcsamarinda #gmckukar #gmcbontang #gmcppu #gmckutim'
1668636977904885762,b'Harapan untuk pak ganjar pranowo\xf0\x9f\x98\x8d\n#GanjarPranowo \n#GanjarPresiden2024 \n#srikandiganjar \n#srikandiganjarsumut\n#gardaperempuanmillenial \n#Cookingtime https://t.co/Wuo0uQQzaN'
1668636953867333634,"b'RT @seruanhl: Terkait isu kontrak politik PDIP yang beberapa hari terakhir sempat menyita perhatian publik, kini sudah dijawab langsung ole\xe2\x80\xa6'"
1668636917225897984,b'@PDI_Perjuangan semakin Solid utk memenangkan @ganjarpranowo\n\nSedangkan Koalisi Perubahan blm apa\xc2\xb2 uda Jontok\xc2\xb2an..\nYaaa sesuai Namanya Perubahan. Perubahan yg awalnya di ajak keliling Indonesia skrng Malah terancam Bubar.\nNnti yg salah Jokowi lg\xf0\x9f\xa4\xa3\nhttps://t.co/ZnXjSmfGza https://t.co/aYnYRIrniS'
1668636829216800768,"b'RT @Miduk17: Singkat, JELAS dan PADAT\n\nPak Ganjar menegaskan bahwa Kabinet itu HAK PREROGRATIF presiden, bukan Partai\n\nJangan sekali2 membu\xe2\x80\xa6'"
1668636732059955201,b'RT @Urrangawak: Dukungan untuk Calon Presiden Ganjar Pranowo terus berdatangan. \n\nKali ini dari sejumlah ratusan organisasi relawan yang be\xe2\x80\xa6'
1668636427821924354,b'RT @quycvom: Nilai kesederhanaan Dari orang Tua Pak Ganjar Pranowo yang membentuk dirinya hingga saat ini\n\n#GanjarCapres\nHari Selasa Putri\xe2\x80\xa6'
1668636375246331905,b'RT @quycvom: Ganjar Pranowo sudsh diajarkan untuk hidup survive di setiap keadaan\n\n#GanjarCapres\nHari Selasa Putri KW mau ngajak cowo sosme\xe2\x80\xa6'
1668635931723841537,b'@ganjarpranowo @jokowi Gagasan terbaik adalah rekam jejak - tsamara amany ayo dukung capres dgn rekam jejak yg jelas dan nyata gak ada lg selain ganjar pranowo #GanjarPranowo #GanjarMenangTotal @TsamaraDKI https://t.co/vwJjvaglOB'
1668635650193752064,b'Oh maksud loe elektabilitas Pak Ganjar Pranowo hanya 12 % ? dari lembaga survei Abal Abal toch ? \xf0\x9f\xa4\xad\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/xUTr9z38LI https://t.co/n7u85a2e3P'
1668635609211236353,"b'RT @Miduk17: Presiden Republik Indonesia sedang bersama Gubernur Jawa Tengah, Ganjar Pranowo\n\nSINERGI antara pimpinan dan bawahan seperti i\xe2\x80\xa6'"
