Username,Tweet
1668169999910043648,?Ini karena  sosok Prabowo merupakan tokoh yang bisa mengambil pendukung Aneis dan Ganjar ketika mereka tak maju atau tidak lolos putaran dua. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
1668169997838069760,"Dia mengatakan, Prabowo merupakan tokoh yang bisa diterima oleh pendukung Anies maupun Ganjar. Hal tersebut, Arif menilai, menjadikan keunggulan bagi Ketua Umum Partai Gerindra tersebut. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169995753512961,"Direktur IndoStrategi Research and Consulting Arif Nurul Iman menilai, hasil tersebut sangat mungkin terjadi karena beberapa faktor. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169993522151439,"JAKARTA -- Berdasarkan hasil survei yang dilakukan Indikator Politik Indonesia, tingkat elektabilitas Prabowo secara head to head unggul apabila Ganjar Pranowo dan Anies Baswedan bila pemilu dilakukan saat survei berlangsung. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169991190102017,"Analisis Head to Head Prabowo Disebut Ungguli Ganjar
PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
 "
1668169846973136897,yaitu Dialog Pertahanan Indonesia-Jerman (IGSPST-Indonesia Germany Security and Policy Staff Talks) yang diselenggarakan secara bergantian setiap tahun. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
1668169845324812288,"Selain di bidang pendidikan, terdapat forum kerja sama yang telah terbentuk dengan Jerman, PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169843479289856,"Officer Training Information Visit, Basic Course Lofar Sonar Submarine Detection, Senior Executive Seminar (SES), dan Staff and Command College. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169841688334336,"Terdapat lima personel yang sedang melaksanakan pendidikan yang meliputi Cyber Security Seminar, PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169839775735808,"Saat ini sebanyak 670 personel Kemhan dan TNI, baik sipil maupun militer, telah melaksanakan pendidikan di Jerman pada 2022-2023. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169837519204352,"""Saya ingin menggarisbawahi inisiatif ini dan kami terbuka untuk kerja sama lainnya yang akan dilaksanakan di tahun depan,"" ujarnya. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169835459809280,Dia mengatakan pada pertemuan hari ini juga membahas soal kerja sama pendidikan dan pelatihan. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
1668169833383591936,Boris mengatakan Indonesia telah menjadi mitra terbaik Jerman selama lebih dari satu dekade ini. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
1668169831160643585,"Kami telah membahas beberapa isu yang kemarin juga dibahas dalam IISS Shangri-La Dialogue beberapa waktu lalu,"" Boris. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169829071872002,"""Saya juga sangat berterima kasih atas pertemuan yang sangat intensif dan bersahabat.PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169827016400896,Salah satu isu yang dibahas terkait Indo-Pasifik dari perspektif Jerman dan Eropa. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
1668169824713986053,"Seusai pertemuan itu, Boris mengungkapkan sejumlah isu yang turut dibahas di IISS Shangri-La 2023 yang baru digelar akhir pekan lalu di Singapura. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169822545547266,"Kami bertekad untuk melanjutkan penguatan kerja sama dan saya berjanji akan melakukan kunjungan kehormatan balasan ke Jerman,"" kata Prabowo dalam konferensi pers, Senin (5/6/2023). PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169820456783873,Hubungan bilateral dan kerja sama pertahanan antara Indonesia dan Jerman yang sangat baik sudah berlangsung lebih dari satu dekade. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
1668169818292523010,"""Jadi ini adalah pertemuan yang sangat baik dan sangat produktif. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169816295997440,Pertemuan keduanya membahas penguatan kerja sama pertahanan Indonesia-Jerman. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
1668169814542815232,Jakarta - Menteri Pertahanan (Menhan) Prabowo Subianto menerima kunjungan Menhan Jerman Boris Pistorius. PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto
1668169812663754753,"Prabowo Terima Kunjungan Menhan Jerman, Bahas Penguatan Kerja Sama Pelatihan

PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
1668169760671170562,"""Sambil menunggu waktu keberangkatan, para menteri berkumpul di restoran yang ada di hotel tempat Presiden menginap,"" ujarnya.
PrabowoUntukIndonesia NeruskePakdhe Prabowo Subianto"
