username,pesan,label,label_angka,case_folding,cleaning,hasil_stopwords,tweet_tokens,tweet_stemmer
@saya_rya,"Dari sekarang aja udah keliatan curang dan culas nya mereka, gpp teruskan aja, Tuhan ga tidur, shalawat asyghil sedang bekerja, insyaallah Pak Anies Presiden 2024",negatif,-1,"dari sekarang aja udah keliatan curang dan culas nya mereka, gpp teruskan aja, tuhan ga tidur, shalawat asyghil sedang bekerja, insyaallah pak anies presiden 2024",dari sekarang aja udah keliatan curang dan culas nya mereka gpp teruskan aja tuhan ga tidur shalawat asyghil sedang bekerja insyaallah pak anies presiden,keliatan curang culas teruskan tuhan tidur shalawat asyghil insyaallah anies presiden,"['keliatan', 'curang', 'culas', 'teruskan', 'tuhan', 'tidur', 'shalawat', 'asyghil', 'insyaallah', 'anies', 'presiden']","['liat', 'curang', 'culas', 'terus', 'tuhan', 'tidur', 'shalawat', 'asyghil', 'insyaallah', 'anies', 'presiden']"
@mohamme72844721,"Santai saja.
Masalahnya bukan itu.
JIS itu jauh lebih baik daripada GBK dan GBT.apalagi Manahan Solo dan Pakansari.
Masalahnya hanya satu,kenapa JIS yang mau di renovasi????
Stadion lain yang jelek2 kan buuuanyak.
Apa kalau bukan ada unsur politisasi melawan Anies Baswedan?.",negatif,-1,"santai saja.
masalahnya bukan itu.
jis itu jauh lebih baik daripada gbk dan gbt.apalagi manahan solo dan pakansari.
masalahnya hanya satu,kenapa jis yang mau di renovasi????
stadion lain yang jelek2 kan buuuanyak.
apa kalau bukan ada unsur politisasi melawan anies baswedan?.",santai saja masalahnya bukan itu jis itu jauh lebih baik daripada gbk dan gbtapalagi manahan solo dan pakansari masalahnya hanya satukenapa jis yang mau di renovasi stadion lain yang jelek kan buuuanyak apa kalau bukan ada unsur politisasi melawan anies baswedan,santai jis gbk gbtapalagi manahan solo pakansari satukenapa jis renovasi stadion jelek buuuanyak unsur politisasi melawan anies baswedan,"['santai', 'jis', 'gbk', 'gbtapalagi', 'manahan', 'solo', 'pakansari', 'satukenapa', 'jis', 'renovasi', 'stadion', 'jelek', 'buuuanyak', 'unsur', 'politisasi', 'melawan', 'anies', 'baswedan']","['santai', 'jis', 'gbk', 'gbtapalagi', 'manah', 'solo', 'pakansari', 'satukenapa', 'jis', 'renovasi', 'stadion', 'jelek', 'buuuanyak', 'unsur', 'politisasi', 'lawan', 'anies', 'baswedan']"
@pengarang_sajak,"Gue dukung Ganjar ga mau terus jelek2in pihak Prabowo..

Maaf kl dukungan gue ga spt yg diharapkan..

Ada sisi positif Ganjar yg gue amati setelah ditunjuk jd Capres..

Paling mencolok, Ganjar focus dengerin keinginan2 dan harapan2 masyarakat..

Belanja Masalah istilah Pakde..",positif,1,"gue dukung ganjar ga mau terus jelek2in pihak prabowo..

maaf kl dukungan gue ga spt yg diharapkan..

ada sisi positif ganjar yg gue amati setelah ditunjuk jd capres..

paling mencolok, ganjar focus dengerin keinginan2 dan harapan2 masyarakat..

belanja masalah istilah pakde..",gue dukung ganjar ga mau terus jelekin pihak prabowo maaf kl dukungan gue ga spt yg diharapkan ada sisi positif ganjar yg gue amati setelah ditunjuk jd capres paling mencolok ganjar focus dengerin keinginan dan harapan masyarakat belanja masalah istilah pakde,dukung ganjar jelekin prabowo dukungan spt diharapkan sisi positif ganjar amati capres mencolok ganjar focus dengerin harapan masyarakat belanja istilah pakde,"['dukung', 'ganjar', 'jelekin', 'prabowo', 'dukungan', 'spt', 'diharapkan', 'sisi', 'positif', 'ganjar', 'amati', 'capres', 'mencolok', 'ganjar', 'focus', 'dengerin', 'harapan', 'masyarakat', 'belanja', 'istilah', 'pakde']","['dukung', 'ganjar', 'jelekin', 'prabowo', 'dukung', 'spt', 'harap', 'sisi', 'positif', 'ganjar', 'amat', 'capres', 'colok', 'ganjar', 'focus', 'dengerin', 'harap', 'masyarakat', 'belanja', 'istilah', 'pakde']"
@Dennysiregar7,"Dapet kabar, Anies mau dipasang2kan sama beberapa tokoh moderat utk menghapus jejak hitam politik identitasnya..

Tapi gada yang mau ",negatif,-1,"dapet kabar, anies mau dipasang2kan sama beberapa tokoh moderat utk menghapus jejak hitam politik identitasnya..

tapi gada yang mau ",dapet kabar anies mau dipasangkan sama beberapa tokoh moderat utk menghapus jejak hitam politik identitasnya tapi gada yang mau,dapet kabar anies dipasangkan tokoh moderat menghapus jejak hitam politik identitasnya gada,"['dapet', 'kabar', 'anies', 'dipasangkan', 'tokoh', 'moderat', 'menghapus', 'jejak', 'hitam', 'politik', 'identitasnya', 'gada']","['dapet', 'kabar', 'anies', 'pasang', 'tokoh', 'moderat', 'hapus', 'jejak', 'hitam', 'politik', 'identitas', 'gada']"
@scraspe,Pak Anies peduli nasib kaum marjinal loh,positif,1,pak anies peduli nasib kaum marjinal loh,pak anies peduli nasib kaum marjinal loh,anies peduli nasib kaum marjinal,"['anies', 'peduli', 'nasib', 'kaum', 'marjinal']","['anies', 'peduli', 'nasib', 'kaum', 'marjinal']"
@kurawa,"Peta Keberpihakan sampai dengan hari ini TV nasional utk Capres :

Anies :
Metro TV
Viva Group
Trans Group

Ganjar :
MNC Group

Prabowo :
----

Kemungkinan Akan berubah ada setelah Cawapres diumumkan",positif,1,"peta keberpihakan sampai dengan hari ini tv nasional utk capres :

anies :
metro tv
viva group
trans group

ganjar :
mnc group

prabowo :
----

kemungkinan akan berubah ada setelah cawapres diumumkan",peta keberpihakan sampai dengan hari ini tv nasional utk capres anies metro tv viva group trans group ganjar mnc group prabowo kemungkinan akan berubah ada setelah cawapres diumumkan,peta keberpihakan tv nasional capres anies metro tv viva group trans group ganjar mnc group prabowo berubah cawapres diumumkan,"['peta', 'keberpihakan', 'tv', 'nasional', 'capres', 'anies', 'metro', 'tv', 'viva', 'group', 'trans', 'group', 'ganjar', 'mnc', 'group', 'prabowo', 'berubah', 'cawapres', 'diumumkan']","['peta', 'pihak', 'tv', 'nasional', 'capres', 'anies', 'metro', 'tv', 'viva', 'group', 'trans', 'group', 'ganjar', 'mnc', 'group', 'prabowo', 'ubah', 'cawapres', 'umum']"
@JarnasABWBpn,"Gen Z pilih Pemimpin yang pandai pidato dan mengeksekusinya.

Jakarta International Stadium contoh nyata, gubernur-gubernur sebelumnya sulit mewujudkannya, Anies mengeksekusinya dengan smooth ",positif,1,"gen z pilih pemimpin yang pandai pidato dan mengeksekusinya.

jakarta international stadium contoh nyata, gubernur-gubernur sebelumnya sulit mewujudkannya, anies mengeksekusinya dengan smooth ",gen  pilih pemimpin yang pandai pidato dan mengeksekusinya jakarta international stadium contoh nyata gubernurgubernur sebelumnya sulit mewujudkannya anies mengeksekusinya dengan smooth,gen pilih pemimpin pandai pidato mengeksekusinya jakarta international stadium contoh nyata gubernurgubernur sulit mewujudkannya anies mengeksekusinya smooth,"['gen', 'pilih', 'pemimpin', 'pandai', 'pidato', 'mengeksekusinya', 'jakarta', 'international', 'stadium', 'contoh', 'nyata', 'gubernurgubernur', 'sulit', 'mewujudkannya', 'anies', 'mengeksekusinya', 'smooth']","['gen', 'pilih', 'pimpin', 'pandai', 'pidato', 'eksekusi', 'jakarta', 'international', 'stadium', 'contoh', 'nyata', 'gubernurgubernur', 'sulit', 'wujud', 'anies', 'eksekusi', 'smooth']"
@HelmiFelis_,"Rumor Anies - Gatot Nurmantyo bener tuh? Kita mah relawan akan siap dukung siapapun Wakilnya

Bismillah jadi 

.",positif,1,"rumor anies - gatot nurmantyo bener tuh? kita mah relawan akan siap dukung siapapun wakilnya

bismillah jadi 

.",rumor anies gatot nurmantyo bener tuh kita mah relawan akan siap dukung siapapun wakilnya bismillah jadi,rumor anies gatot nurmantyo bener mah relawan dukung wakilnya bismillah,"['rumor', 'anies', 'gatot', 'nurmantyo', 'bener', 'mah', 'relawan', 'dukung', 'wakilnya', 'bismillah']","['rumor', 'anies', 'gatot', 'nurmantyo', 'bener', 'mah', 'rawan', 'dukung', 'wakil', 'bismillah']"
@cebong_dungu2,Jhon Sitorus bin miduk17 yang notabene non muslim sang penghembus fitnah terhadap Bapak Anies Baswedan sedang nangis karena hatinya SAKIT ngeliat kenyataan Bapak Anies Baswedan di Arab Saudi,negatif,-1,jhon sitorus bin miduk17 yang notabene non muslim sang penghembus fitnah terhadap bapak anies baswedan sedang nangis karena hatinya sakit ngeliat kenyataan bapak anies baswedan di arab saudi,jhon sitorus bin miduk yang notabene non muslim sang penghembus fitnah terhadap bapak anies baswedan sedang nangis karena hatinya sakit ngeliat kenyataan bapak anies baswedan di arab saudi,jhon sitorus bin miduk notabene non muslim sang penghembus fitnah anies baswedan nangis hatinya sakit ngeliat kenyataan anies baswedan arab saudi,"['jhon', 'sitorus', 'bin', 'miduk', 'notabene', 'non', 'muslim', 'sang', 'penghembus', 'fitnah', 'anies', 'baswedan', 'nangis', 'hatinya', 'sakit', 'ngeliat', 'kenyataan', 'anies', 'baswedan', 'arab', 'saudi']","['jhon', 'sitorus', 'bin', 'miduk', 'notabene', 'non', 'muslim', 'sang', 'hembus', 'fitnah', 'anies', 'baswedan', 'nang', 'hati', 'sakit', 'ngeliat', 'nyata', 'anies', 'baswedan', 'arab', 'saudi']"
@chxores,"Keren bgt yaa, pak anies ahli dalam hal mencerdaskan anak bangsa",positif,1,"keren bgt yaa, pak anies ahli dalam hal mencerdaskan anak bangsa",keren bgt yaa pak anies ahli dalam hal mencerdaskan anak bangsa,keren yaa anies ahli mencerdaskan anak bangsa,"['keren', 'yaa', 'anies', 'ahli', 'mencerdaskan', 'anak', 'bangsa']","['keren', 'yaa', 'anies', 'ahli', 'cerdas', 'anak', 'bangsa']"
