username,pesan,Negative Count,Positive Count,label
@haesuuuo,Hastag #nabilataqiyyah knpa isinyan prabowo semua yak,0,0,netral
@PutroLawu7,"Begitu juga dengan pak anies semoga setelah berhaji meninggalkan tabiat buruk yg hobi ngibul, jangan lg se indonesia di kibulin.
Insyaflah sdh haji pak anies, jangan suka ngibul, itu dosa besar.",4,2,negatif
@senyawaf,Pak Anies ahli membuat program yang sangat berguna untuk Jakarta,0,3,positif
@sintaaeeyy,Pak Anies peka dan responsif sebagai seorang pemimpin.,0,1,positif
@jazyxyrus,"ini fanatik2 anies sampe rela berantem sama banyak akun2 netral demi belain JIS..

fanatik pemerintah juga gobloq, malah keluarin statement kalo JIS ini gagal secara berlebihan.. 

JIS tidak sesempurna yang dibilang fanatik anies
JIS tidak seancur yang dibilang fanatik pemerintah",6,1,negatif
@coozixl,Pak Anies ahli dalam berkomunikasi,0,1,positif
@kolongmamat93,baru di capres kan saja anies sudah membuat negara menggelontor kan duit ratusan milyar bahkan triliun buat menjatuh kan nama nya...gmn nanti kalau anies udah sah sebagai peserta pemilu 2024????? gw yakin jkw dan jenderal jenderal pengkhianat yg stroke duluan,2,1,negatif
@Tery44117487,"Kwalitas gedung yg buruk tentu WAJIB di perbaiki.
Bukan soal gengsi tp TERMASUK MENUTUPI KEBODOHAN ANIES",4,0,negatif
@baco_djafa11377,Pak Anies Baswedan memang titipan Allah SWT untuk perubahan Indonesia yang berkemajuan insyaallah,0,0,netral
@BahrudinHm,"Si Uky ngarang, bela Anies dibilang nyembah.
Rata rata pendukung Anies cuma mengcounter cuitan gerombolan kalian yg tiada hari gak nyerang Anies.
Kalian juga kayaknya benci banget sama Anies, padahal Anies gak pernah nyubit kalian, apalagi bikin Miskin kalian. Eh... ",7,2,negatif
@GardaGun,"Kenapa ya, yg benci Anies rata2 gen tulang lunak?! 
@Miduk17",1,0,negatif
@noanverse,"Kalo untuk membentuk tim kerja yg solid, Pak Anies ahli deh",0,2,positif
@xjnes,Anies peka dan responsif terhadap kondisi bangsa,0,1,positif
@Gumilar86230032,"dia tau yg terberat buat anies itu bukan lawan capres lain, tapi lawan rezim ini yg berusaha menjegal sebelum jd capres. kalo anies sukses jadi capres maka tdk akan terbendung pasti menang 1putaran.",5,4,negatif
,"Masalah terbesar JIS itu diresmikan saat Anies masih aktif. Coba Anies mau bersabar sebentar, menunggu Heru menjabat, biar Jokowi yg resmikan. Bisa lain cerita.. :-)",1,2,positif
@GobangGoc,"Buat apa bus masuk ke situ? Itu jalur buat pejabat tinggi negara, bukan buat pemain. Sudah jelas diterangkan oleh 
@GeiszChalifah
 di acara ILC kok masih posting beginian?berarti benar kata 
@GeiszChalifah
 bahwa ribut soal JIS cuma drama utk mendowngrade Anies.",4,2,negatif
@namanyaima,Pak Anies ahli memotivasi anak muda,0,2,positif
@scraspe,Pak Anies ahli dan sangat responsif ya dengan permasalahan rakyat,0,3,positif
@vergrld,Pak Anies peka dan solutif banget ya dengan keluhan masyarakat,1,1,netral
@bachrum_achmadi,"JIS itu trmsk stadion yg blm lama selesai, tp bangunan utamanya sdh selesai.

Klopun ada kekurangan infrastruktur wajar, apalagi skrg sdg on progress.

Tp klo JIS dicap tdk memenuhi standar, fix itu krn efek politik kebencian & kedengkian ke Anies! ",2,1,negatif
@dewisymrah_,"Prabowo beli jet tempur bekas Qatar, levelnya udah di atas langit! #KoalisiKebangsaan #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024",0,0,netral
,Pak Anies ahli menangani masalah di Jakarta,1,1,netral
@BuswayAnies,"Sama aja kaya oknum isilop nyalain strobo di saat macet, padahal ga ada urgensinya. Sumpah silau banget klo kita di belakangnya, mana lampunya kedap kedip kan.",3,1,negatif
@Minhyunqi,Pak Anies kompeten bgt di dunia pendidikan,0,1,positif
@Lembayung071,"Baik trimakasih dan maaf itu salah referensi, trimakasih sudah diingatkan ",1,2,positif
@SimbolonBilma,"Daripada berdebat terus dan saling tuding antara kubu Anies dan Pemerintah tentang JIS, lebih baik PSSI tidak usah menawarkan JIS kepada FIFA jika dianggap tidak layak. Atau kedua belah pihak datangkan team independen untuk menilai apakah layak atau tidak untuk FIFA.",6,2,negatif
@bachrum_achmadi,"Dulu awal ditangkap heboh kali, seolah Johnny G Plate korupsi rugikan negara 8 triliun.

Makin ke sini, ternyata Plate diduga memperkaya diri 17.8 miliar. Pdhl yg diterima pihak lainnya jauh lbh bsr.

Heboh krn Plate dr NasDem parte pendukung Anies. Kolam jd bergemuruh!",3,1,negatif
