username,pesan
@tutura2003yaho1,"Santei uda....
Aku org jateng ajah pilih anies koq"
@xjrun,Pak Anies peduli dengan toleransi umat beragama
@BosPurwa,"Ingpo yang gw dengar..
Anies Baswedan akan dipanggil kejaksaan/kejagung sepulangnya dari Arab Saudi terkait kasus bansos

Mudah2an gak bener berita itu."
,"Semakin semangat nih utk menangin Anies thn depan, supaya  keluarga bajingan idola nya cebong itu dimasukin bui"
@changamar3,"Yakin aja sama kekuasa'an Alloh swt..
Karna alloh swt kuasa akan segalanya
Dan akhirnya kebenaran akan mencari jalan nya sendiri..HASBUNAULLOH WANI'MAL WAKIL NI'MAL MAULA WA'MAN NASHIIR..
Semoga pak anies sehat sllu dan senantiasa dalam perlindungan alloh swt..aamiin"
@RagilSemar,"Anies nanggepi soal JIS woles aja.

Maka biarkan yg ribut para fanatik capres dan pejabat2 caper saja lah.

Rakyat kecil cukup perhatikan RUU kesehatan, maling Nikel, gerombolan garong BTS, begundal kebon sawit, dan perkara2 lain yang jauh lebih jahat.

Monggo."
@as16067013,"JIS digaungkan Fauzi Bowo 2008 namun tidak terlaksana, 
2014 Jokowi gaungkan juga tidak terlaksana.
2017 Djarot letakan batu pertama setelah itu ditinggal, dikiranya stadion bisa tumbuh sendiri seperti pohon.
2019 Anies Baswedan merealisasikan pembangunan stadion hingga selesai."
@coozixl,Pak Anies sukses mencetak banyak prestasi saat menjadi gubernur Jakarta
@kangdede78,"Tinggal nunggu penyembah ‘berhala JIS’ menyerang Konsultan desain yg bermarkas di Inggris, Buro Happold.

Narasinya: “Konsultan itu ditekan rezim untuk menjelek-jelekan Anies” Capres mantan Gubernur TERBURUK sepanjang sejarah DKI.

Dalam… Show more"
@Langgen27393109,"Gobloknya makin kwadrat, kan stadionnya buka tutup,jd aman, tolol koq di pelihara. Dari awal PKI rwborn emang gk suka Anies!!!!!"
@neckleot,Anies tekun menanam kebaikan di mana pun berada
@qhanniw,"Pak Anies sukses menjadi pemimpin Jakarta terbaik, tetapi tidak pernah sombong"
@arya_dhena,"Ada komen atau skrg hy gambar saja? Jd siapa penipu nya? Blm di jwb. Yg hy memperbaiki biar bs di gunakan Pildun atau yg beli rumput di Boyolali? Fakta itu muncul dg sendirinya. 
@aniesbaswedan
 
@erickthohir
  ternyata pak anies ngaku pak beli rumput di boyolali.cek RAB 
@KPK_RI"
