username,pesan
@Kanseulir,"Kelen Mau Indonesia Seperti Apa? 
Jakarta? Pilih Anies! - Retweet
Jateng? Pilih Ganjar! - Like"
@ekapuput88,Anies ahli dalam menyusun program dan menjalankan program tersebut.
@chxores,Katanya Anies sabar diturunkan dari ayah beliau
@jaa63300,Pak Anies peka dan jadi sosok pemimpin yang dekat dengan rakyat.
@ch_chotimah2,"Membiarkan Nasdem dikabinet pdhl sdh mendukung Anies.
Membiarkan prabowo memanfaatkan nama dan fotonya pdhl partainya mencalonkan Ganjar.

Knp pak Jokowi melakukan itu?
Biar seluruh rakyat Indonesia tau betapa ga tau malunya lawan politik Jokowi selama ini, seperti dulu PAN, sdh… Show more"
@Abeng1204,Sebarkan. Biar buzer makin kejang2 lht anies semakin populer dgn karya2 nya 
@BuswayAnies,"Sama aja kaya oknum isilop nyalain strobo di saat macet, padahal ga ada urgensinya. Sumpah silau banget klo kita di belakangnya, mana lampunya kedap kedip kan."
@baco_djafa11377,Pak Anies Baswedan memang titipan Allah SWT untuk perubahan Indonesia yang berkemajuan insyaallah
@raphi_saputra,"Unpopuler opinion.
Sbnernya JIS hmpir pasti kepake,cuma klo lsg dipake yg di untungkan Anies.Makanya di atur biar popularitas Anies ngga ikut terangkat gara2 JIS di pake.Kalo emg JIS ga layak, logikanya lsg tunjuk stadion lain aja yg standar FIFA. Ga muter2 cari cacat ksana kmari"
@Shintya_tsamara,"Kerja ga bs, jkt amburadul, cuma pinter bhs inggris doank byk di Indonesia, meningan jd guru bhs inggris aja si Anies lbh cocok"
@SimbolonBilma,"Daripada berdebat terus dan saling tuding antara kubu Anies dan Pemerintah tentang JIS, lebih baik PSSI tidak usah menawarkan JIS kepada FIFA jika dianggap tidak layak. Atau kedua belah pihak datangkan team independen untuk menilai apakah layak atau tidak untuk FIFA."
@enermge,Dari kecil emang Anies prestasi nya sudah bejibun
@HelmiFelis_,"Kalau ingin Indonesia seperti Prancis pilih CaPres yang diusung oleh Partai yang rasis seperti, you know kan? 

Kalo mau Indonesia seperti Ukraina pilih CaPres yang suka perang

Kalo ingin Indonesia berubah drastis seperti Qatar (mewah) tau kan? Anies Baswedan 

."
@MrDesperate1,"Kepada para buzzer, cebongers, 
@sahabatganjar
 , demi menghemat waktu, tenaga & duid negara, gimana klw kalian pilih juga Anies, utk wujudkan pilpres 1 putaran. Kalian bs lbh cepat kembali fokus mikirin biaya hidup kalian yg morat-marit.
Oke?"
@nayasurethings,Untuk manajemen krisis tuh Pak Anies ahli loh
@poodiejeje,Pak Anies ahli loh dalam membuat banyak program transportasi
@bachrum_achmadi,"Dulu awal ditangkap heboh kali, seolah Johnny G Plate korupsi rugikan negara 8 triliun.

Makin ke sini, ternyata Plate diduga memperkaya diri 17.8 miliar. Pdhl yg diterima pihak lainnya jauh lbh bsr.

Heboh krn Plate dr NasDem parte pendukung Anies. Kolam jd bergemuruh!"
@Raju89755360,"Alhamdulillah.......

Calon Presiden Indonesia terbaik hubungan Internasional nya luar biasa.

Bismillahirrahmanirrahim
Semoga Allah SWT. Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia.

Aamiin Yaa Robbal'alamiin"
@GobangGoc,"Buat apa bus masuk ke situ? Itu jalur buat pejabat tinggi negara, bukan buat pemain. Sudah jelas diterangkan oleh 
@GeiszChalifah
 di acara ILC kok masih posting beginian?berarti benar kata 
@GeiszChalifah
 bahwa ribut soal JIS cuma drama utk mendowngrade Anies."
@rdprasetyo_a,"Lha kalian tanya sama yg punya situs. Jangan nnti kalian tarik tarik ke ranah jegal anies ya . Klo menurut sy, buro happold risi karena tembok pembatas ambrol waktu ada pertandingan..."
@GardaGun,"Kenapa ya, yg benci Anies rata2 gen tulang lunak?! 
@Miduk17"
@abu_waras,"Jadi gini, nanti setiap apa yang sudah dibangun Anies akan dinyatakan tidak standar lalu dilakukan renovasi, setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok Bapak Pembangunannya. 
Iya engga sih?"
@lenny1_rose,"ini kata2 SONGONG ato SOMBONG ,GAK layak jadi cawapres PAK ANIES, pak ANIES itu orangnya SANTUN ,berbanding terbalik dengan SONGONG dan SOMBONG"
@yana_udiyatna,"waaooo...Anies Baswedan berkomplot dgn gerombolan  Wahabi, ada Basalamah cs, ada Firanda Andirja yg lebih percaya Bumi itu Datar...."
@fenjuls,Pak Anies ahli sebagai pemimpin karena pengalamannya
@NobowoNonowo,"Katanya Anies itu pecatan.
Katanya Anies itu pengangguran.

Kok pada kelojotan dan menyerbu Anies dgn segala kekuatan?

Hayoooo kenapaaaaa "
@coozixl,Pak Anies ahli dalam berkomunikasi
@kolongmamat93,baru di capres kan saja anies sudah membuat negara menggelontor kan duit ratusan milyar bahkan triliun buat menjatuh kan nama nya...gmn nanti kalau anies udah sah sebagai peserta pemilu 2024????? gw yakin jkw dan jenderal jenderal pengkhianat yg stroke duluan
@tgh_009,"Nek aku cucoknya Anies AHY tpi mbuh, internal koalisi perubahan blom satu suara

Info A1"
@TeddGus,"Lu gak suka Prabowo, ya sudah, jangan Pilih nanti di TPS. Lu gak suka Ganjar, ya sudah, jangan pilih nanti di TPS. Lu gak suka Anies, ya sudah, jangan pilih nanti di TPS. Sesimpel itu.. 

Ada yang tanya ke gue, lalu kenapa anda sepertinya selalu menyerang salah satu bakal calon?… Show more"
@wonteod,"Anies ahli dalam memimpin, siap mencalonkan diri menjadi capres."
@neckleot,Kalo adu prestasi Anies gak akan kalah sepertinya ya
@neckleot,Anies tekun menanam kebaikan di mana pun berada
@yumiiyummyy_,Pak Anies ahli komunikasi publik loh katanya
@bachrum_achmadi,"Campakkan itu hsl survei berbayar. Kita belajar dr Pilkada DKI Jkrt sdh ckp sbgai fakta. Mknya mrk sngt kuatir Anies maju pilpres.

Dulu muncung para surveyor itu berlomba2 jagokan Ahok-Djarot. Bgitu Ahok-Djarot keok mrk ngeles macam2. 

Telek kebolah sama klen! "
@jazyxyrus,"ini fanatik2 anies sampe rela berantem sama banyak akun2 netral demi belain JIS..

fanatik pemerintah juga gobloq, malah keluarin statement kalo JIS ini gagal secara berlebihan.. 

JIS tidak sesempurna yang dibilang fanatik anies
JIS tidak seancur yang dibilang fanatik pemerintah"
@Algoritma67,"Ebong... Ngeles mulu, ga dikasih data bilang, JIS ga standar FIFA, dikasih data bilang, emangnya JIS punya Anies...

Yaah begitulah ebong, otak tdk pernah digunakan maksimal...

Yg penting nyerocos dulu... Urusan belakangan..."
@namanyaima,Pak Anies ahli memotivasi anak muda
@DokterTifa,"Ketika mas 
@aniesbaswedan
 Dalam kampanye Pilkada DKI Jakarta waktu itu, dengan yakin dan bersemangat akan bikin program Rumah DP 0%, kening saya berkerut dan dalam hati saya membatin:

Ah mana mungkin. Ngacok aja nih Anies.

But, a long the way, beberapa bulan ini saya sedang… Show more"
@noanverse,"Kalo untuk membentuk tim kerja yg solid, Pak Anies ahli deh"
,"Semakin semangat nih utk menangin Anies thn depan, supaya  keluarga bajingan idola nya cebong itu dimasukin bui"
@MasRahmad121,"Telat pak ngasih polesan penghargaannya ...
Coba pas waktu anies msh menjabat Gub DKI bisa dibandingkan, kl skrg sdh terlalu nyolok polesannya ..

Faktanya ..
Waktu msh sama2 menjabat gub, hampir smua penghargaan diborong Anies krn emang prestasi nyata, bahkan ada yg dr LN ."
@enermge,"Pak Anies ahli dalam memimpin loh, makanya beliau diajukan capres"
@enermge,Anies tekun mengajari tanpa menggurui
,Anies peka akan kondisi pendidikan di Indonesia
@HelmiFelis_,"Kok JIS tiba-tiba dipermasalahkan?

Apakah karena JIS tidak standart FIFA? Bukan

JIS bukan standart FIFA? Ya, JIS standart elektabilitas

Makanya rezim puyeng mau hapus jejak Anies di JIS 

Kita tonton saja kebodohan mereka dengan bangun narasi renovasi atau apapun itu 

."
@an15wn,Berarti followernya Pak Kapolri mayoritas pendukung Pak Anies. 
@purw73,"Anies Baswedan sang cucu pahlawan Nasional Indonesia membangun JIS u Persija , karya  % anak bangsa tanpa ngutang."
@anthwf77,"Terimakasih utk membuat elektabilitas anies makin jatuh dg rajin sebar berita bohong, anis memang gak pantas buat memimpin negeri ini "
@xjnes,Anies peka dan responsif terhadap kondisi bangsa
@Gumilar86230032,"dia tau yg terberat buat anies itu bukan lawan capres lain, tapi lawan rezim ini yg berusaha menjegal sebelum jd capres. kalo anies sukses jadi capres maka tdk akan terbendung pasti menang 1putaran."
@Tery44117487,"Kwalitas gedung yg buruk tentu WAJIB di perbaiki.
Bukan soal gengsi tp TERMASUK MENUTUPI KEBODOHAN ANIES"
@scraspe,Rekam jejak prestasi Anies tidak terbantahkan
@carboxcarbo,Pak Anies peka dengan kondisi Jakarta sebelum nya dan membawa perubahan setelahnya.
@bianca01403,"Kucing tugasnya memerangi tikus2.

Di pemerintahan Jokowi gak gitu. Kucing merangkap tikus. Kalau ada yang masih asli kucing, diancam penjara atau dipecat dari jabatannya. Sudirman Said, Anies, RR adalah kucing2 bersih yang disingkirkannya

#JokowiMusuhRakyat 
#JokowiMusuhRakyat"
@xjnes,Banyak yg menilai Pak Anies ahli di bidang politik
@Minhyunqi,"Program"" Anies mantap sehingga didukung semua pihak. #AniesMantap"
@chxores,"Banyak sekali prestasi Anies, dari mulai di bangku sekolah hingga menjadi gubernur"
@Hamdiirawan17,Hahaha jis mana bisa  penyefong Anies Baswedan menangis sekali
@faz_hrp,"Ouhh Ordal rupa nya, PantasLah ada Postingan sedikit Berbau Sentimen sama Pak Anies"
@BahrudinHm,"Si Uky ngarang, bela Anies dibilang nyembah.
Rata rata pendukung Anies cuma mengcounter cuitan gerombolan kalian yg tiada hari gak nyerang Anies.
Kalian juga kayaknya benci banget sama Anies, padahal Anies gak pernah nyubit kalian, apalagi bikin Miskin kalian. Eh... "
@bachrum_achmadi,"Sblmnya FE bahan mrk u/ nyinyirin & serang Anies. Skrg JIS bahan mrk u/ serang Anies.

Giliran KCJB janjinya tdk gunakan APBN, Kertajati tdk sesuai fungsi, Sirkuit Mandalika merugi, dll, diam membisu muncung mrk.

Mrk benar2 bani hipokrit! "
@PutroLawu7,"Begitu juga dengan pak anies semoga setelah berhaji meninggalkan tabiat buruk yg hobi ngibul, jangan lg se indonesia di kibulin.
Insyaflah sdh haji pak anies, jangan suka ngibul, itu dosa besar."
@sintaaeeyy,Pak Anies peka dan responsif sebagai seorang pemimpin.
@ionredhotchili_,"Sebagai pemimpin yang handal, Pak Anies ahli membuat kebijakan publik yg adil."
@diahnya_sastro,"Janganlah si songong ini dijejerin pk anies,  cukup sma ahy dah gk ada lain yg cocok"
@98garislurus,"Apa gue Kate... PDIP akan berada di persimpangan jalan kalau mengusung Gub. JaTeng.

PDIP usung Prabowo aja, di adu dgn Anies. Pilpresnya cukup satu putaran. Biaya Murah."
@arkaatmaja7,"Perlombaan Ganjar dan Anies sudah pada tahap bikin negh.....bersaing menjadi tamu spesial Saudi itu sesuatu yg nggak masuk akal dan kekanak-kanakan, tragis disaat di Indonesia banyak ada masalah yg butuh narasi seorang capres"
@scraspe,Anies tekun berkiprah di dunia pendidikan
@bantdip,"Lu pada tolol yang dukung anies,prabowo,ganjar,jokowi dan partai partai sampe segitunya. Mereka aja dateng ke lu pada pas mau pemilu doang, mereka aja gaakan peduli lu mau mati kesengat lebah kek atau apalah. Lupada di sosmed saling hina, saling menjatuhkan"
@xjrun,Anies ahli dalam memenangkan kepercayaan publik
@BosPurwa,"STOP bilang JIS adalah mahakarya Anies Baswedan, jangan lebay. Klo mau disebut mahakarya subjeknya adalah anak-anak bangsa bukan hanya Anies Baswedan.

Membuat proposal yang akhirnya dana investasi PEN turun bukan perkara mudah, termasuk merencanakan strategi pembangunanya!"
@BubutMotor,Salahnya pak anies apa sih? Apa lu sakit hati gara2 jagoan lu kalah pilkada?
@carboxcarbo,Pak Anies ahli dalam memberikan memotivasi
@sintaaeeyy,"Sewaktu menjadi gubernur, pak Anies ahli memberikan fasilitas - fasilitas baru kepada rakyat nya."
@enermge,Pak Anies peka dalam merespon masalah yg dihadapi warga
@fenjuls,Anies antusias menjadikan Jakarta kota yg ramah
@bachrum_achmadi,"JIS itu trmsk stadion yg blm lama selesai, tp bangunan utamanya sdh selesai.

Klopun ada kekurangan infrastruktur wajar, apalagi skrg sdg on progress.

Tp klo JIS dicap tdk memenuhi standar, fix itu krn efek politik kebencian & kedengkian ke Anies! "
@putrisakera,"Anak Buah Jokowi kompak hingga Kader PSI Sebut JIS Tak Sesuai Standar FIFA.

Tanggapan Anies Santai : ""JIS bukan milik saya, tapi milik Indonesia karya anak bangsa. Jika mau di renovasi monggo"","
@variztelrooy,"Fans Anies Baswedan gausah heboh
Ada Ganjar ama Puan juga kog di situ"
@vergrld,Pak Anies peka dan solutif banget ya dengan keluhan masyarakat
@peachyseokjinz,Pak Anies ahli deh kalo ngambil hati rakyatnya
@YellyYellow5,"Mantap, gini-gini Pak Anies ahli dalam bidang pendidikan loh"
@scraspe,Pak Anies ahli dan sangat responsif ya dengan permasalahan rakyat
@rudiabdedey,"Pertanyaannya,bagai mana cara buat poling agar Ganjar menang?
Masalah nya di ilc,pak Anies menang jauh
Sempak merah buat poling,pak Anies mng.
@ch_chotimah2
  buat jg pak Anies mng.
Bnyak yg lain jg buat,ttp pak Anies.
Sesekali buat dong pak Ganjar"
@fenjuls,"Quotes Anies mantap semua ya, sangat memotivasi #AniesMantap"
@BosPurwa,"Makasih Pak Jokowi, Pak Erick Thohir, Pak Dito yang sudah memulai lagi membicarakan JIS

Panjang cerita JIS ini sampai November nanti dan selama itu pula nama Anies Baswedan akan terus diangkat baik yang pro ato yang kontra. Bagus bukan?

Spesial untuk 
@Miduk17
, thanks ya :)"
,"Masalah terbesar JIS itu diresmikan saat Anies masih aktif. Coba Anies mau bersabar sebentar, menunggu Heru menjabat, biar Jokowi yg resmikan. Bisa lain cerita.. :-)"
@Rafiest,"Gue kalau jadi Anies, gue yang ngalah pasti.

Jaga pelanggan bos "
@mohamme72844721,Gak level bersanding dengan Anies Baswedan.
@bachrum_achmadi,"PDIP Sebut Pembangunan JIS Agenda Kampanye Murahan Anies Baswedan.

Si Gilbert Simanjuntak ini sakit hati & dengkinya luar biasa ke Anies, kekalahan Ahok-Djarot benar2 menyiksanya.

Lupa dia GBK dipake kegiatan parpol mcm PDIP, lupa dia Kertajati tdk ssuai fungsinya! "
@senyawaf,Pak Anies ahli membuat program yang sangat berguna untuk Jakarta
@chxores,"Akomodasi di Jakarta tidak inklusif, pak anies peka untuk mengatasi nya"
@GeiszChalifah,"Ribuan BuzzerRp sdh dikerahkan, pengamat abal2 juga sudah. Ada pula demo membawa bendera HMI yg saat ditanya LK dimana, malah bingung jawabnya. 
HMI MPO bodong juga sudah, Surveyer tipu2 juga sdh. Kini 3 Menteri plus kontraktor diturunkan. Hanya utk delegitimasi Anies Baswedan."
@YadinMars,Ayo Bang kita tungguin kaum OD berikutnya untuk Blunder yg menurut dia jitu untuk menjatuhkan pamor pak Anies Baswedan
@WinnerWave_,Surya Tjandra ini mantan PSI kan ya. terlibat juga di reklamasi kalo ngga salah. sekarang jadi jubir Anies ya. hehehe jadi ketauan Anies didukung siapa dibelakangnya. 9 naga tuh
@Minhyunqi,Pak Anies kompeten bgt di dunia pendidikan
@salima252lagi,"Padjem itu kan pns di dki ya ? 

Dia skrg alergi sama anies 

Kalau post sok asik mulu berusaha sarkas. Sarkas nya lucu sebenarnya sayangnya dia buzzer si zulhas. Mentri problematik yg rekam jejaknya buruk 

Nah yg jd pertanyaan kekecewaan apa yg dia pendam krn ulah Pak abw"
@Jimilbaryatiha1,"Kata Anies ada jogging track di atap JIS, kata FIFA, JIS tdk layak untuk pertandingan bola bagi klub-klub yg bernaung di bawah FIFA, tapi kadrun percaya Anies dibandingkan FIFA..."
,Pak Anies ahli menangani masalah di Jakarta
