Username,Tweet
RiyantoBintan,@LANGKAHANIES @aniesbaswedan Berlomba² ingin memenangkan anies baswedan jd presiden....muanttaappp
AmMuliadi,@SahabatCel @DokterTifa @jokowi @aniesbaswedan Atas balas jasanya pak de angkat jadi menteri meskipu akhirnya dipecat karena tdk becus kerja... 🤭🤭
brojong20,@ariefbudiawan7 @CNNIndonesia @jokowi @prabowo @ganjarpranowo @aniesbaswedan Semua negara juga begitu block 🤣🤡
SaviorBEOMGYU,@RescuerBilly Anies Baswedan
TrioKw3kkw3k__,"@Jatayu_45 Yang ingin jadi orang kaya, sila pilih Anies Baswedan. 
Maju kotanya bahagia warganya.
#2024Gant1Presiden 
#2024Gant1Presiden 

Yang ingin jadi orang miskin, sila pilih Ganjar Pranowo. https://t.co/2CMlmuBnkx"
Wo2_Anis_ORBA_,@Abingsanca @widarto63285827 @aniesbaswedan @LebakBulusInfo @__AnakKolong @BRidwan908 @musniumar @bachrum_achmadi @_RiuRizkiUtomo @NgkongRoses @j6rt9gw2hd @4Y4NKZ @triajaaa @K7_m0en 🤣
Wo2_Anis_ORBA_,@widarto63285827 @aniesbaswedan @LebakBulusInfo @__AnakKolong @BRidwan908 @musniumar @bachrum_achmadi @_RiuRizkiUtomo @NgkongRoses @j6rt9gw2hd @4Y4NKZ @triajaaa @K7_m0en Aneh knp ditolak
BejoBack,@IndustriRiyad @__AnakKolong @__Bungs @aan_muba @AB_008_ @AbahDeon @abahiksan17 @ajies4ra @aniesbaswedan @Aryprasetyo85 @brother_djon @BlueNeo81 Yohanies  Rasyid Jemboet  Anus Buset EDAN 😁😁 https://t.co/OGZhMU9puF
waisdong_ah,@DokterTifa @jokowi @aniesbaswedan Inikan pendapat kamu. Gak pernah tuh @aniesbaswedan punya perasaan spt tulisan kamu. Orang2 bijak gak akan menepuk dada mreka
TamongPanji,"@CNNIndonesia Kata PAN @Official_PAN 
Sejumlah elite PPP @DPP_PPP menyatakan lebih Nyaman dengan @aniesbaswedan Cerdas dan Amanah. 
#2024AniesPresiden"
