Username,Tweet
ngopibareng_id,"Pasar Warakas di Tanjung Priok Jakarta Utara mendadak ramai, Sabtu 24 Juni 2023 pagi. Para pedagang dan penjual dihebohkan kedatangan Ganjar Pranowo https://t.co/Qy70jPTu0l"
ganjarforall,"Gubernur Jawa Tengah (Jateng) Ganjar Pranowo lakukan mentoring pada 1.000 pelaku UMKM di Pendopo KRT Sosro Koesomo, Nganjuk, Jawa Timur (Jatim), Jumat 23 Juni 2023, dalam acara ‘Anniversary 1st UMKM’ Nganjuk.

#ganjarforall  #ganjarpranowo #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/NDn9FnGgFh"
adhistya_p,@ganjarpranowo Aamiin 🤲
Syapran_s,"@Metro_TV @ganjarpranowo @aniesbaswedan Sudah dapat cawapresnya, Kades WADAS"
Muhammadsofial1,@Agusrantesa @LekMarteg @ganjarpranowo Itu kan pas hari libur kerja drunnnnn
DjumalP,@Lembayung071 @ganjarpranowo Majulah indonesiaku
ayulestarii8140,"@Ganjaran_app @ganjarpranowo Ayo kawan"" ramekan dan segerah dowlod ganjar app"
CantikMaskur,@Cozillar_Reborn @Metro_TV @ganjarpranowo @aniesbaswedan 🤔🤣🤣🤣
seirraanc,@Ganjaran_app @ganjarpranowo Ayo didownload jangan lupaa
GanjarPranowoo,"Dari kisah ini, bahwa banyak masyarakat yang merespon Ganjar Pranowo dengan sikap yang unik-unik mulai dari yang berjabat tangan, bermain kuis, hingga menyanyi.

#MEnangkanGAnjar #GenerasiGotongRoyong #sahabatganjar #ganjarpranowo #ganjar https://t.co/26LJeK4oW1"
GanjarPranowoo,"Kali ini, ada seorang bocah asal Nganjuk yang bikin calon presiden rambut putih itu geregetan didepan ribuan massa.

#MEnangkanGAnjar #GenerasiGotongRoyong #sahabatganjar #ganjarpranowo #ganjar https://t.co/j88PtjQELI"
GanjarPranowoo,"Selalu ada cerita seru dan yang dapat mengocok perut anda ketika melihat kedekatan Ganjar Pranowo dengan warga. 

#MEnangkanGAnjar #GenerasiGotongRoyong #sahabatganjar #ganjarpranowo #ganjar https://t.co/oLbUz4dFo0"
AnthonyLuhulim4,"@Metro_TV @ganjarpranowo @aniesbaswedan Ganjar bingung karena Pendampingnya semua keren, kalau Anies belum dapat pendamping karena semua ndak mau jadi pendamping Anies kecuali Anak baru belajar AHY."
Kayakuwek,"@franxvvv @ch_chotimah2 @Munir_Timur @ganjarpranowo Lu baca user name gw, gw asli jateng.. gk sebanding jakarta 1 periode dgn semarang 2 periode... gk usah sejateng. Lu org mn jer ?🖕🖕🖕 https://t.co/fmRjaQPTdU"
Mikalesun,@Metro_TV @ganjarpranowo @aniesbaswedan Menyaingi Min? Bukannya bacapres boss lu elektabilitasnya makin nyungsep tiap survey2 lembaga survey kredible????
kacaspion__,@Metro_TV @ganjarpranowo @aniesbaswedan Yang bingung itu si Surya 🤣🤣🤣
gia43183799,@SumanSuman31220 @ganjarpranowo Swasta msih banyak
seirraanc,@Ganjaran_app @ganjarpranowo App tentang perjuangan pak Ganjar nih
SuYanto62349697,@ch_chotimah2 @Munir_Timur @ganjarpranowo Otakmu iku sg gawe en wong jateng provinsi termiskin kok nyolot
ArthaArtha15,"@ch_chotimah2 @Munir_Timur @ganjarpranowo @aniesbaswedan APBD DKI 3kli lipat lebih besar dari Jateng, dan penduduk Jateng 3kali lipat lebih banyak dari DKI , seharusnya angka kemiskinan Jateng naik dibandingkan DKI, masak APBD lebih dikit dan penduduknya lebih banyak malah turun angka kemiskinannya 😏 benar gk bang @Munir_Timur ?"
bostambang_,@ganjarpranowo Ini jadi aku KK Kab. Semarang tapi lanjut SMA di ponpes * di beda kabupaten dan ponpesnya itu ijazah SMA nya pake PKBM setara paket C pak
Nikmatul_Sg,"MasyaAllah, dibikin speechless. Doa ibu-ibu dan bapak-bapak di pasar buat @ganjarpranowo , smg bs meneruskan perjuangan pak @jokowi ya pak, dan amanah selalu.

Aamiin menyertai doa yg diucapkan mereka. Sehat selalu all🤗 https://t.co/0xfLol5W74"
weloveganjar,"Dari kisah ini, bahwa banyak masyarakat yang merespon Ganjar Pranowo dengan sikap yang unik-unik mulai dari yang berjabat tangan, bermain kuis, hingga menyanyi.

#MEnangkanGAnjar #GenerasiGotongRoyong #sahabatganjar #ganjarpranowo #ganjar https://t.co/4shVwRDnK1"
weloveganjar,"Kali ini, ada seorang bocah asal Nganjuk yang bikin calon presiden rambut putih itu geregetan didepan ribuan massa.

#MEnangkanGAnjar #GenerasiGotongRoyong #sahabatganjar #ganjarpranowo #ganjar https://t.co/6wtNBLP0xX"
tvOneNews,"Digadang Bakal Cawapres Ganjar Pranowo, Sandiaga Uno Malah Tak Hadir Peringatan Puncak BBK https://t.co/e7px9Gr5Ge"
weloveganjar,"Selalu ada cerita seru dan yang dapat mengocok perut anda ketika melihat kedekatan Ganjar Pranowo dengan warga. 

#MEnangkanGAnjar #GenerasiGotongRoyong #sahabatganjar #ganjarpranowo #ganjar https://t.co/PVVwgncq1v"
tvOneNews,"Ganjar Pranowo Tiba di GBK, Ikut Hadiri Peringatan Puncak Bulan Bung Karno https://t.co/BYuvL1esiX"
one_sach97004,@Dave_Chandra @Sutrisn11901147 @Agus52643021 @Metro_TV @ganjarpranowo @aniesbaswedan Coba tanya pejabat setempat knp kawin kontrak bisa terjadi.
aksaraku_,"Sangat gagah sekali bapak Ganjar Pranowo lengkap dengan kopiah hitam dan baju merah menunjukan semangat yang membara  #K3palkanTanganPersatuan
Untuk Indonesia Raya https://t.co/D3lb6XpXCO"
yuliaboe1,@Metro_TV @ganjarpranowo @aniesbaswedan Looh bukannya yang kompetisi itu Ganjar dan Prabowo? Anies mah ga masuk hitungan huahahahaha
JhonPandi118646,"@ch_chotimah2 @Munir_Timur @ganjarpranowo Mohon video ini sampaikan kepada orang tersebut., Kali aja setelah mekihat video saya ini urat malu nya dan kebodohan nya bisa berkurang walau sedikit.. https://t.co/cK0XqrmTQL"
ayulestarii8140,@Ganjaran_app @ganjarpranowo Semogah kita terus  kompak dan memeper kembang budayah kita.
HiJas81817843,@Cozillar_Reborn @Metro_TV @ganjarpranowo @aniesbaswedan Mantap tv nya 👍😂
xeinaals,@Ganjaran_app @ganjarpranowo Jurus pemenangan pak Ganjar nihh
Blandong_99,@Naraciaga13 @Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi Kok minusnya pak Ganjar belum disebut.?
momotaro7106,@Hypatia212 @Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi https://t.co/GlKHgruz3p
AndalasGuy03_,@Viikar_0 @Hanif_AF @ganjarpranowo @officialJKT48 Gw gerindra 🗿
UyokBack,Sampeyan KTP mana @ganjarpranowo ?
