Username,Tweet,Negative Count,Positive Count,Label
franxvvv,@Metro_TV @ganjarpranowo @aniesbaswedan Persaingan ketat ada di ganjar dan prabowo saja👇🙄 https://t.co/YwKnYU1dGH,0,0,Neutral
Lembayung071,"Sucseskan Pildun U-17 jangan ada lagi yang memupus mimpi anak bangsa .....kepak sayap Garuda Mendunia
@ganjarpranowo
#GarudaMendunia https://t.co/RKKajatF5y",1,0,Negative
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/cVbik1HXZM",0,0,Neutral
AlamsyahTansry,@ganjarpranowo 😭😭😭😭😭😭😭😭,0,0,Neutral
KM50toHell2,@marlina_idha @aniesbaswedan Semoga kau langsung pulang ke Yaman. Biar NKRI sejahtera,0,1,Positive
ganjarforall,"Gubernur Jawa Tengah (Jateng) Ganjar Pranowo lakukan mentoring pada 1.000 pelaku UMKM di Pendopo KRT Sosro Koesomo, Nganjuk, Jawa Timur (Jatim), Jumat 23 Juni 2023, dalam acara ‘Anniversary 1st UMKM’ Nganjuk.

#ganjarforall  #ganjarpranowo #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/NDn9FnGgFh",0,0,Neutral
fathw25,"Teka-teki Pertemuan Wali Kota Solo Gibran dan Prabowo Subianto Malam Nanti, Ini Kata Gibran - Tribun Jateng #Prabowo #PrabowoUnggul https://t.co/zepinC0X19",0,1,Positive
GpsLory,"@sarah_enjeuLL @aniesbaswedan Wkwkwk... Ada yang julid... Boong, boong.. Emang junjungannya nggk bisa ya😂😂😂",1,1,Neutral
Yana_Cianjur,"@martajasa0811 @Metro_TV @ganjarpranowo @aniesbaswedan Nasdem,PKS dan demokrat ormas ya  bukan Partai ,",1,0,Negative
andri220707,"@Metro_TV @ganjarpranowo @aniesbaswedan Menyaingi???? 🤣🤣🤣 
Sehat Min...",0,1,Positive
win_ardie,@juancok82 @YoyokSugiono2 @sarah_enjeuLL @aniesbaswedan Wkwkwk... Ganjar dah duluan haji...,0,0,Neutral
Fushianus,Diluar Nalar dan Tak Masuk Akal Sosok Prabowo Subianto!! Menolak Hibah Tapi Membeli Pesawat Bekas!! https://t.co/VDgZ7RqbR9,1,1,Neutral
AdrianaDaneen,"Hasto soal Kaesang Mau Undang Prabowo ke Podcast-nya: Wajar, Anak Muda - https://t.co/ZaqO3SL26Q - https://t.co/ZaqO3SL26Q #prabowo #prabowosubianto https://t.co/NyiDk5phAW",0,0,Neutral
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/k5n0VnmlXh",0,0,Neutral
gia43183799,@SumanSuman31220 @ganjarpranowo Swasta msih banyak,0,1,Positive
Blackterrible,"@Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi Anis, krn omongannya terlalu retoris, khas politisi yg opportunistis, ditambah dgn mayoritas pendukungnya yg terlalu bnyak mndngungkan isu konfrontatif. Bbrp jejak program yg dulu dia gaungkan jg ternyata hnya permainan kata2 semata.",4,0,Negative
mugiewarae,Ada yang tidak beres dengan Prabowo Subianto #HakAsasiManusia #PelanggaranHAM #HumanRightsAbuse #DefendHumanRights https://t.co/BvjRE9bJE0,1,0,Negative
DellaPerdana2,"@Metro_TV @ganjarpranowo @aniesbaswedan Kok anies??
Ganjar tuh Vs Prabowoooo",1,0,Negative
goentz1,"“Dalam sejarah bangsa-bangsa, kesempatan ini hanya datang sekali, sekali saja. Di situlah kita perlu tokoh-tokoh muda,"" lanjut dia. 

#KitaSemuaBersatu 
Prabowo Subianto",1,0,Negative
JokoWah33372742,@Metro_TV @ganjarpranowo @aniesbaswedan metro tvu saiki modele ngno yo.....mls nnton metro saiki....,0,0,Neutral
goentz1,"Pesan Prabowo di Hadapan PMII: Jadi Generasi Muda yang Berani dan Kuasai Ilmu Pengetahuan

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/XClpnsRth2",0,1,Positive
putri_lave,"Kecurangan Anies Baswedan saat merebut jabatan Rektor Paramadina adalah bukti sifat aslinya

#TolakAnies #TolakPolitikPencitraan #TenggelamkanAnies https://t.co/blvV5PynAW",1,0,Negative
IchaMawarni16,Prabowo Subianto Sebut Wali Kota Solo  Gibran Sebagai Sosok Pemimpin di Masa Depan https://t.co/Bw7J06cQ78,0,0,Neutral
